state_name,cases,cured,active,deaths,district_name,district_cases,district_cured,district_active,district_deaths,state_IFR,district_IFR,state_CFR,district_CFR,state_CFR_CURRENT,district_CFR_CURRENT
maharashtra,967349,686462,252734,27787,pune,212563,142618,65361,4584,10.99,7.01,2.87,2.16,3.89,3.11
maharashtra,967349,686462,252734,27787,mumbai,160744,126743,25665,7985,10.99,31.11,2.87,4.97,3.89,5.93
maharashtra,967349,686462,252734,27787,thane,148690,117055,27576,4058,10.99,14.72,2.87,2.73,3.89,3.35
maharashtra,967349,686462,252734,27787,nashik,49651,37820,10827,1004,10.99,9.27,2.87,2.02,3.89,2.59
maharashtra,967349,686462,252734,27787,nagpur,42974,23511,18322,1137,10.99,6.21,2.87,2.65,3.89,4.61
maharashtra,967349,686462,252734,27787,raigad,37548,27248,9416,882,10.99,9.37,2.87,2.35,3.89,3.14
maharashtra,967349,686462,252734,27787,jalgaon,33138,24466,7709,963,10.99,12.49,2.87,2.91,3.89,3.79
maharashtra,967349,686462,252734,27787,kolhapur,30069,19037,10195,837,10.99,8.21,2.87,2.78,3.89,4.21
maharashtra,967349,686462,252734,27787,palghar,28981,23102,5220,659,10.99,12.62,2.87,2.27,3.89,2.77
maharashtra,967349,686462,252734,27787,aurangabad,27122,20035,6365,722,10.99,11.34,2.87,2.66,3.89,3.48
maharashtra,967349,686462,252734,27787,ahmednagar,26356,19849,6135,372,10.99,6.06,2.87,1.41,3.89,1.84
maharashtra,967349,686462,252734,27787,solapur,24439,17578,5974,886,10.99,14.83,2.87,3.63,3.89,4.8
maharashtra,967349,686462,252734,27787,sangli,20924,11936,8356,632,10.99,7.56,2.87,3.02,3.89,5.03
maharashtra,967349,686462,252734,27787,satara,20657,12185,8017,453,10.99,5.65,2.87,2.19,3.89,3.58
maharashtra,967349,686462,252734,27787,latur,11029,6547,4150,332,10.99,8.0,2.87,3.01,3.89,4.83
maharashtra,967349,686462,252734,27787,nanded,10249,4724,5248,277,10.99,5.28,2.87,2.7,3.89,5.54
maharashtra,967349,686462,252734,27787,dhule,9978,7310,2417,249,10.99,10.3,2.87,2.5,3.89,3.29
maharashtra,967349,686462,252734,27787,osmanabad,7790,4967,2605,218,10.99,8.37,2.87,2.8,3.89,4.2
maharashtra,967349,686462,252734,27787,amravati,6727,4804,1770,153,10.99,8.64,2.87,2.27,3.89,3.09
maharashtra,967349,686462,252734,27787,beed,6189,4114,1903,172,10.99,9.04,2.87,2.78,3.89,4.01
maharashtra,967349,686462,252734,27787,ratnagiri,5512,3150,2188,174,10.99,7.95,2.87,3.16,3.89,5.23
maharashtra,967349,686462,252734,27787,jalna,5503,3525,1826,152,10.99,8.32,2.87,2.76,3.89,4.13
maharashtra,967349,686462,252734,27787,akola,4792,3316,1308,167,10.99,12.77,2.87,3.48,3.89,4.79
maharashtra,967349,686462,252734,27787,buldhana,4517,2998,1428,91,10.99,6.37,2.87,2.01,3.89,2.95
maharashtra,967349,686462,252734,27787,chandrapur,4463,1895,2517,51,10.99,2.03,2.87,1.14,3.89,2.62
maharashtra,967349,686462,252734,27787,yavatmal,4461,2882,1479,100,10.99,6.76,2.87,2.24,3.89,3.35
maharashtra,967349,686462,252734,27787,parbhani,3670,2269,1297,104,10.99,8.02,2.87,2.83,3.89,4.38
maharashtra,967349,686462,252734,27787,nandurbar,3547,2335,1121,91,10.99,8.12,2.87,2.57,3.89,3.75
maharashtra,967349,686462,252734,27787,gondia,2600,1325,1246,29,10.99,2.33,2.87,1.12,3.89,2.14
maharashtra,967349,686462,252734,27787,washim,2365,1711,611,42,10.99,6.87,2.87,1.78,3.89,2.4
maharashtra,967349,686462,252734,27787,bhandara,2197,963,1204,30,10.99,2.49,2.87,1.37,3.89,3.02
maharashtra,967349,686462,252734,27787,sindhudurg,2081,884,1171,26,10.99,2.22,2.87,1.25,3.89,2.86
maharashtra,967349,686462,252734,27787,wardha,1943,921,998,23,10.99,2.3,2.87,1.18,3.89,2.44
maharashtra,967349,686462,252734,27787,hingoli,1915,1405,468,42,10.99,8.97,2.87,2.19,3.89,2.9
maharashtra,967349,686462,252734,27787,gadchiroli,1011,806,204,1,10.99,0.49,2.87,0.1,3.89,0.12
maharashtra,967349,686462,252734,27787,other state,954,428,437,89,10.99,20.37,2.87,9.33,3.89,17.21
maharashtra,967349,686462,252734,27787,mumbai suburban,0,0,0,0,10.99,0.0,2.87,0.0,3.89,0.0
andhra pradesh,537687,435647,97338,4702,east godavari,72497,59292,12763,442,4.83,3.46,0.87,0.61,1.07,0.74
andhra pradesh,537687,435647,97338,4702,kurnool,50182,45338,4438,406,4.83,9.15,0.87,0.81,1.07,0.89
andhra pradesh,537687,435647,97338,4702,anantapur,47548,42191,4966,391,4.83,7.87,0.87,0.82,1.07,0.92
andhra pradesh,537687,435647,97338,4702,west godavari,47248,42209,4663,376,4.83,8.06,0.87,0.8,1.07,0.88
andhra pradesh,537687,435647,97338,4702,chittoor,46469,37218,8747,504,4.83,5.76,0.87,1.08,1.07,1.34
andhra pradesh,537687,435647,97338,4702,guntur,43147,34898,7803,446,4.83,5.72,0.87,1.03,1.07,1.26
andhra pradesh,537687,435647,97338,4702,visakhapatnam,42436,36072,6023,341,4.83,5.66,0.87,0.8,1.07,0.94
andhra pradesh,537687,435647,97338,4702,s.p.s.r. nellore,41041,34800,5872,369,4.83,6.28,0.87,0.9,1.07,1.05
andhra pradesh,537687,435647,97338,4702,y.s.r. kadapa,34090,25866,7942,282,4.83,3.55,0.87,0.83,1.07,1.08
