state_name,cases,cured,active,deaths,district_name,district_cases,district_cured,district_active,district_deaths
Maharashtra,1060308,740061,290344,29531,Pune,232840,150403,77624,4813
Maharashtra,1060308,740061,290344,29531,Mumbai,169741,130918,30316,8150
Maharashtra,1060308,740061,290344,29531,Thane,156916,123222,29531,4162
Maharashtra,1060308,740061,290344,29531,Nashik,54632,40714,12860,1058
Maharashtra,1060308,740061,290344,29531,Nagpur,50885,28003,21522,1356
Maharashtra,1060308,740061,290344,29531,Raigad,41355,29375,11056,922
Maharashtra,1060308,740061,290344,29531,Jalgaon,37121,26177,9921,1023
Maharashtra,1060308,740061,290344,29531,Kolhapur,32815,22415,9468,932
Maharashtra,1060308,740061,290344,29531,Palghar,30926,24603,5606,717
Maharashtra,1060308,740061,290344,29531,Aurangabad,29422,21674,6991,757
Maharashtra,1060308,740061,290344,29531,Ahmednagar,29017,21745,6837,435
Maharashtra,1060308,740061,290344,29531,Solapur,27189,19117,7116,955
Maharashtra,1060308,740061,290344,29531,Sangli,25064,13963,10361,740
Maharashtra,1060308,740061,290344,29531,Satara,24321,14833,8890,596
Maharashtra,1060308,740061,290344,29531,Latur,12477,7696,4431,350
Maharashtra,1060308,740061,290344,29531,Nanded,11385,5293,5787,305
Maharashtra,1060308,740061,290344,29531,Dhule,10850,8539,2029,280
Maharashtra,1060308,740061,290344,29531,Osmanabad,8699,6024,2440,235
Maharashtra,1060308,740061,290344,29531,Amravati,8428,5529,2712,187
Maharashtra,1060308,740061,290344,29531,Beed,6833,4518,2126,189
Maharashtra,1060308,740061,290344,29531,Ratnagiri,6237,3366,2689,182
Maharashtra,1060308,740061,290344,29531,Jalna,5958,3926,1862,170
Maharashtra,1060308,740061,290344,29531,Chandrapur,5586,2568,2957,61
Maharashtra,1060308,740061,290344,29531,Akola,5286,3522,1582,181
Maharashtra,1060308,740061,290344,29531,Buldhana,5264,3320,1847,97
Maharashtra,1060308,740061,290344,29531,Yavatmal,5145,3232,1802,111
Maharashtra,1060308,740061,290344,29531,Parbhani,4118,2601,1391,126
Maharashtra,1060308,740061,290344,29531,Nandurbar,3992,2673,1220,99
Maharashtra,1060308,740061,290344,29531,Gondia,3128,1688,1409,31
Maharashtra,1060308,740061,290344,29531,Bhandara,2938,1025,1868,45
Maharashtra,1060308,740061,290344,29531,Washim,2757,1968,736,52
Maharashtra,1060308,740061,290344,29531,Sindhudurg,2389,1210,1139,40
Maharashtra,1060308,740061,290344,29531,Wardha,2232,1361,845,25
