population_year,population_region,population,population_type
2011,india,1210855,total
2012,india,1226731,total
2013,india,1242607,total
2014,india,1258483,total
2015,india,1274359,total
2016,india,1290235,total
2017,india,1304457,total
2018,india,1318678,total
2019,india,1332900,total
2020,india,1347121,total
2021,india,1361343,total
2011,india,623270,male
2012,india,631285,male
2013,india,639301,male
2014,india,647316,male
2015,india,655331,male
2016,india,663346,male
2017,india,670469,male
2018,india,677591,male
2019,india,684714,male
2020,india,691836,male
2021,india,698959,male
2011,india,587585,female
2012,india,595446,female
2013,india,603306,female
2014,india,611167,female
2015,india,619028,female
2016,india,626889,female
2017,india,633988,female
2018,india,641087,female
2019,india,648186,female
2020,india,655285,female
2021,india,662384,female
2011,jammu and kashmir,12267,total
2012,jammu and kashmir,12393,total
2013,jammu and kashmir,12519,total
2014,jammu and kashmir,12645,total
2015,jammu and kashmir,12771,total
2016,jammu and kashmir,12897,total
2017,jammu and kashmir,12999,total
2018,jammu and kashmir,13101,total
2019,jammu and kashmir,13203,total
2020,jammu and kashmir,13305,total
2021,jammu and kashmir,13408,total
2011,jammu and kashmir,6484,male
2012,jammu and kashmir,6545,male
2013,jammu and kashmir,6606,male
2014,jammu and kashmir,6667,male
2015,jammu and kashmir,6728,male
2016,jammu and kashmir,6789,male
2017,jammu and kashmir,6837,male
2018,jammu and kashmir,6885,male
2019,jammu and kashmir,6933,male
2020,jammu and kashmir,6982,male
2021,jammu and kashmir,7030,male
2011,jammu and kashmir,5783,female
2012,jammu and kashmir,5848,female
2013,jammu and kashmir,5913,female
2014,jammu and kashmir,5978,female
2015,jammu and kashmir,6043,female
2016,jammu and kashmir,6108,female
2017,jammu and kashmir,6162,female
2018,jammu and kashmir,6216,female
2019,jammu and kashmir,6270,female
2020,jammu and kashmir,6324,female
2021,jammu and kashmir,6378,female
2011,himachal pradesh,6865,total
2012,himachal pradesh,6923,total
2013,himachal pradesh,6982,total
2014,himachal pradesh,7041,total
2015,himachal pradesh,7100,total
2016,himachal pradesh,7158,total
2017,himachal pradesh,7206,total
2018,himachal pradesh,7253,total
2019,himachal pradesh,7300,total
2020,himachal pradesh,7347,total
2021,himachal pradesh,7394,total
2011,himachal pradesh,3482,male
2012,himachal pradesh,3512,male
2013,himachal pradesh,3541,male
2014,himachal pradesh,3571,male
2015,himachal pradesh,3601,male
2016,himachal pradesh,3631,male
2017,himachal pradesh,3654,male
2018,himachal pradesh,3678,male
2019,himachal pradesh,3702,male
2020,himachal pradesh,3726,male
2021,himachal pradesh,3750,male
2011,himachal pradesh,3383,female
2012,himachal pradesh,3412,female
2013,himachal pradesh,3441,female
2014,himachal pradesh,3470,female
2015,himachal pradesh,3499,female
2016,himachal pradesh,3528,female
2017,himachal pradesh,3551,female
2018,himachal pradesh,3574,female
2019,himachal pradesh,3598,female
2020,himachal pradesh,3621,female
2021,himachal pradesh,3644,female
2011,punjab,27743,total
2012,punjab,28023,total
2013,punjab,28302,total
2014,punjab,28581,total
2015,punjab,28861,total
2016,punjab,29140,total
2017,punjab,29380,total
2018,punjab,29619,total
2019,punjab,29859,total
2020,punjab,30099,total
2021,punjab,30339,total
2011,punjab,14639,male
2012,punjab,14781,male
2013,punjab,14923,male
2014,punjab,15064,male
2015,punjab,15206,male
2016,punjab,15347,male
2017,punjab,15467,male
2018,punjab,15586,male
2019,punjab,15705,male
2020,punjab,15824,male
2021,punjab,15943,male
2011,punjab,13104,female
2012,punjab,13242,female
2013,punjab,13379,female
2014,punjab,13517,female
2015,punjab,13655,female
2016,punjab,13793,female
2017,punjab,13913,female
2018,punjab,14034,female
2019,punjab,14154,female
2020,punjab,14275,female
2021,punjab,14395,female
2011,haryana,25351,total
2012,haryana,25772,total
2013,haryana,26193,total
2014,haryana,26614,total
2015,haryana,27034,total
2016,haryana,27455,total
2017,haryana,27861,total
2018,haryana,28266,total
2019,haryana,28672,total
2020,haryana,29077,total
2021,haryana,29483,total
2011,haryana,13495,male
2012,haryana,13713,male
2013,haryana,13931,male
2014,haryana,14149,male
2015,haryana,14367,male
2016,haryana,14585,male
2017,haryana,14793,male
2018,haryana,15000,male
2019,haryana,15208,male
2020,haryana,15415,male
2021,haryana,15623,male
2011,haryana,11857,female
2012,haryana,12059,female
2013,haryana,12262,female
2014,haryana,12465,female
2015,haryana,12667,female
2016,haryana,12870,female
2017,haryana,13068,female
2018,haryana,13266,female
2019,haryana,13464,female
2020,haryana,13662,female
2021,haryana,13860,female
2011,delhi,16788,total
2012,delhi,17166,total
2013,delhi,17544,total
2014,delhi,17921,total
2015,delhi,18299,total
2016,delhi,18677,total
2017,delhi,19056,total
2018,delhi,19435,total
2019,delhi,19814,total
2020,delhi,20193,total
2021,delhi,20571,total
2011,delhi,8987,male
2012,delhi,9186,male
2013,delhi,9385,male
2014,delhi,9583,male
2015,delhi,9782,male
2016,delhi,9980,male
2017,delhi,10177,male
2018,delhi,10373,male
2019,delhi,10570,male
2020,delhi,10766,male
2021,delhi,10963,male
2011,delhi,7801,female
2012,delhi,7980,female
2013,delhi,8159,female
2014,delhi,8338,female
2015,delhi,8517,female
2016,delhi,8697,female
2017,delhi,8879,female
2018,delhi,9061,female
2019,delhi,9244,female
2020,delhi,9426,female
2021,delhi,9609,female
2011,rajasthan,68548,total
2012,rajasthan,69687,total
2013,rajasthan,70825,total
2014,rajasthan,71963,total
2015,rajasthan,73102,total
2016,rajasthan,74240,total
2017,rajasthan,75248,total
2018,rajasthan,76256,total
2019,rajasthan,77264,total
2020,rajasthan,78273,total
2021,rajasthan,79281,total
2011,rajasthan,35551,male
2012,rajasthan,36111,male
2013,rajasthan,36670,male
2014,rajasthan,37230,male
2015,rajasthan,37790,male
2016,rajasthan,38350,male
2017,rajasthan,38834,male
2018,rajasthan,39318,male
2019,rajasthan,39803,male
2020,rajasthan,40287,male
2021,rajasthan,40772,male
2011,rajasthan,32997,female
2012,rajasthan,33576,female
2013,rajasthan,34155,female
2014,rajasthan,34733,female
2015,rajasthan,35312,female
2016,rajasthan,35890,female
2017,rajasthan,36414,female
2018,rajasthan,36938,female
2019,rajasthan,37462,female
2020,rajasthan,37985,female
